Rhythm: Abioueka | Corrected track patterns (Kenkeni, Sangban, Dun, Bells) to exactly 2 rows/24 steps (beats=2 in UI for 12/8). Restored 4 djembe accompaniment parts. Set swing=35 and customSwingOffsets=[10,10,10,10,10,10].
Rhythm: /Wasulunke /Bubuninca | Trimmed inflated track 'Sangban (keypattern for one drum)' (Key: sangban) from 48 to 24 steps (2 UI rows).
Rhythm: /Wasulunke /Bubuninca | Trimmed inflated track 'Sangban (keypattern for one drum) Bell' (Key: sangban_bell) from 48 to 24 steps (2 UI rows).
Rhythm: Abondan | Trimmed inflated track 'Kenkeni (drum 1 and 2)' (Key: kenkeni) from 48 to 24 steps (2 UI rows).
Rhythm: Abondan | Trimmed inflated track 'Kenkeni (drum 1 and 2) Bell' (Key: kenkeni_bell) from 48 to 24 steps (2 UI rows).
Rhythm: Abondan | Trimmed inflated track 'Sangban' (Key: sangban) from 48 to 24 steps (2 UI rows).
Rhythm: Abondan | Trimmed inflated track 'Sangban Bell' (Key: sangban_bell) from 48 to 24 steps (2 UI rows).
Rhythm: Abondan | Trimmed inflated track 'Dun Dun' (Key: dundunba) from 48 to 24 steps (2 UI rows).
Rhythm: Abondan | Trimmed inflated track 'Dun Dun Bell' (Key: dundunba_bell) from 48 to 24 steps (2 UI rows).
Rhythm: Balan Sondé | Trimmed inflated track 'Kenkeni' (Key: kenkeni) from 48 to 24 steps (2 UI rows).
Rhythm: Balan Sondé | Trimmed inflated track 'Kenkeni Bell' (Key: kenkeni_bell) from 48 to 24 steps (2 UI rows).
Rhythm: Balan Sondé | Trimmed inflated track 'Sangban' (Key: sangban) from 48 to 24 steps (2 UI rows).
Rhythm: Balan Sondé | Trimmed inflated track 'Sangban Bell' (Key: sangban_bell) from 48 to 24 steps (2 UI rows).
Rhythm: Balan Sondé | Trimmed inflated track 'Dundun' (Key: dundunba) from 48 to 24 steps (2 UI rows).
Rhythm: Balan Sondé | Trimmed inflated track 'Dundun Bell' (Key: dundunba_bell) from 48 to 24 steps (2 UI rows).
Rhythm: Bandogialli / Bando Djeï | Trimmed inflated track 'Kenkeni' (Key: kenkeni) from 48 to 24 steps (2 UI rows).
Rhythm: Bandogialli / Bando Djeï | Trimmed inflated track 'Kenkeni Bell' (Key: kenkeni_bell) from 48 to 24 steps (2 UI rows).
Rhythm: Bandogialli / Bando Djeï | Trimmed inflated track 'Sangban' (Key: sangban) from 48 to 24 steps (2 UI rows).
Rhythm: Bandogialli / Bando Djeï | Trimmed inflated track 'Sangban Bell' (Key: sangban_bell) from 48 to 24 steps (2 UI rows).
Rhythm: Bandogialli / Bando Djeï | Trimmed inflated track 'Dundun' (Key: dundunba) from 48 to 24 steps (2 UI rows).
Rhythm: Bandogialli / Bando Djeï | Trimmed inflated track 'Dundun Bell' (Key: dundunba_bell) from 48 to 24 steps (2 UI rows).
Rhythm: Bolokonondo | Trimmed inflated track 'Kenkeni' (Key: kenkeni) from 48 to 24 steps (2 UI rows).
Rhythm: Bolokonondo | Trimmed inflated track 'Kenkeni Bell' (Key: kenkeni_bell) from 48 to 24 steps (2 UI rows).
Rhythm: Dalfo | Trimmed inflated track 'Kenkeni' (Key: kenkeni) from 48 to 24 steps (2 UI rows).
Rhythm: Dalfo | Trimmed inflated track 'Kenkeni Bell' (Key: kenkeni_bell) from 48 to 24 steps (2 UI rows).
Rhythm: Dalfo | Trimmed inflated track 'Sangban' (Key: sangban) from 48 to 24 steps (2 UI rows).
Rhythm: Dalfo | Trimmed inflated track 'Sangban Bell' (Key: sangban_bell) from 48 to 24 steps (2 UI rows).
